B1710208,业支资源池,业支资源池四期工程,田辉,43100.0,0.19,1号楼4层1号机房128台服务器加电，28台交换机加电。1号楼4层6号机房电缆布放58条zarvv3x10。账务B启动数据库模拟割接。新增闪盘整理完成压测对比。新增4台SAN交换机方案规划,计划完成1号楼4层1号机房128台服务器设备入网。计划完成1号楼4层1号机房32台服务器安装、布线；计划完成青园街IBM小型机安装、布线；账务B数据库二次模拟割接。启动账务CBE B集群搭建。系统容灾建设，设备加电、系统联调
B161030T,业务分析域,大数据平台一期工程（平台部分）,王海通,43190.0,0.3,大数据平台集成环境搭建完成，主体功能验证完成。Paas平台测试环境已经搭建完成。门户集成方案已经确定，正在与应用厂商逐步接入应用测试。基础平台搭建完成。保定到货设备140台，已经完成上架安装，正在进行加电系统调测，网络设备部分到货，正在安装。集成设计方案完成，后期进展依赖基础环境具备和相关设备到货。,"继续进行平台集成测试，hadoop viewfs测试。hadoop、Gbase服务化联调测试。完成应用接入测试。完成模型基础管理能力测试
完成已到货设备调测，具备软件可部署所需硬件条件。催促未到货设备尽快到货实施。"
B161030T,业务分析域,大数据平台一期工程（模型部分）,张琳,43100.0,0.95,模型数据核查第一优先级（应用厂商一阶段应用所需）共需核查122张，计划12月15号完成，当前完成66张（54.10%），第一优先级新增完成8张，日数据已基本核查完成（日表已基本加载全月，月表部分未加载11月数据，今日第二优先级核查完成4张）。,完成12月15日的第一批最重要数据模型质量核查
B171030D,业务分析域,2017年经营分析系统改造工程（平台部分）,王海通,43100.0,0.4,大数据平台集成环境搭建完成，主体功能验证完成。Paas平台测试环境已经搭建完成。门户集成方案已经确定，正在与应用厂商逐步接入应用测试。基础平台搭建完成。保定到货设备140台，已经完成上架安装，正在进行加电系统调测，网络设备部分到货，正在安装。集成设计方案完成，后期进展依赖基础环境具备和相关设备到货。,"继续进行平台集成测试，hadoop viewfs测试。hadoop、Gbase服务化联调测试。完成应用接入测试。完成模型基础管理能力测试
完成已到货设备调测，具备软件可部署所需硬件条件。催促未到货设备尽快到货实施。"
B171030D,业务分析域,2017年经营分析系统改造工程（应用部分）,陈保符,43100.0,0.6,短信扩容、漫游营销、语音余量营销、互联网内容营销等功能开发已完成并上线。 ,
B161030S,业务分析域,2016大数据应用现网改造工程,陈保符,43100.0,0.65,已完成人员密度监控、客户标签、战略地图、4G专题界面功能开发和现网条件上线，并对数据模型进行了基于hadoop平台（测试环境）的数据处理测试。,本月启动上述四个应用 基于大数据平台数据模型形成后的迁移改造工作。
,业务分析域,大数据平台（应用建设）-对内支撑（一期）,姚春芬,43100.0,0.7,"聚类市场客户分析 完成平台开发和需求建设。进行上线准备工作。   
宽带成本价值评估
1、脚本联调15%，门户测试5%，迁移oracle10%
2、自定义报告功能开发完成
3、成本收益地图功能开发完成（暂无数据）""   
个人客户欠费追缴专题分析 输出分析报告，进行滚动月份数据验证分析   ","宽带成本价值评估：继续进行：脚本联调，门户测试，迁移oracle
个人客户欠费追缴专题分析：对模型进行验证优化"
,业务分析域,大数据平台（应用建设）-对外服务（一期）,曹英卓,43100.0,0.65,"智慧旅游（首页） 本期主要进行门户集成测试、承载监控、热力展示等功能开发以及后台数据建模统计。   
和信用分 本期确定评估指标、权重以及维度权重的计算，并输出信用得分   
雄安新区智慧公安信息平台 完成逻辑重写包含热图、网格、人流、人口分析、新建区域、设置等逻辑层修改。   
大数据风控（金融二期） 完成金融风控指标梳理，初步输出模型设计方案。   ","智慧旅游（首页） 集成门户开发，数据接入测试
和信用分 测试数据验证，上线
雄安新区智慧公安信息平台 测试人流实时处理
大数据风控（金融二期） 完成数据指标开发"
B171030O,信息化系统,采购物资管理系统五期,李彬,43100.0,0.98,需求变更和推进及其剩余细化功能 进行测试，收集需求,完成上线
B171030N,信息化系统,计划建设管理系统四期,李彬,43100.0,0.97,完成投资计划管理、资本开支管理、FPA固化管理、一级集采需求管理、报表体系本期功能优化,"本期功能点优化基本完成,后续进一步对功能点完成情况梳理，并与业务部门进行完成情况确认"
B171030P,信息化系统,财务集中化系统六期,李彬,43100.0,0.73,"""完成账户余额不足导致支付失败的功能；中行联行号自动更新功能；
优化银行接口程序；优化提单判重逻辑，添加凭证冲销自动判断、冲销凭证处理控制流程的功能；数据库优化，历史数据归档，提升系统效率""   
完成POS分类稽核、手机平台-自有渠道按缴费类型统计；手机平台-自有渠道按银行账户统计；手机平台-ERP差异对比；手机平台-无纸化指标监控；   
完成HR系统绩效及测评管理功能、优化培训管理、请假审批接入移动办公。完成EPA功能初步上线。资产管理新增无形资产管理、落实集团资产扫描APP模块。 完成公司预算管控模式优化；重要支出预算项目管理模式改造；手机审批功能改造。 完成集团履职日志平台接入相关改造工作。进行报账金额管控相关、资金预算管控相关功能开发；   ","通服相关的资金业务纳入银企互联系统；          
差异类型定制；差异功能改造；差异分类报表
EPA功能优化
项目化管理审批流程改造；全省性项目管理及审批流程改造；
优化集团履职日志平台接入相关改造工作；进行报账金额管控相关、资金预算管控相关功能开发；"
B171030M,信息化系统,统一信息平台十期,李彬,43100.0,0.6," 合同法务管理平台   完成系统开发工作    
 内部审计信息系统   进入开发阶段    
 公文安全升级   进入开发阶段    "," 合同法务管理平台        进行割接上线
 内部审计信息系统        进入开发阶段
 公文安全升级        进入开发阶段"
B1710303,信息安全域,业支安全运维管理平台SMP六期,王森,43100.0,0.91,"安全工程管理模块开发及测试部署 未部署，测试中   
本地安全符合性测评需求及测试部署 已部署，需要优化   ","安全量化模块开发及测试部署、安全工单模块开发及测试部署、安全工程管理模块开发及测试部署：需要根据业支情况对此模块进行优化调研
与集团一级SMC平台接口联调：等待集团平台开发
本地安全符合性测评需求及测试部署：两部委检查项优化开发"
B1710301,信息安全域,业支安全管控平台（4A）六期,王森,43100.0,0.87,"应急改造版本升级及短信、接口服务容灾模式调整：
完成功能开发与上线
完成组巡相关功能开发与上线
配合集团检查并对不满足项进行优化与调整","对组巡发现问题进行整改(4A/审计/态势)
与终端B2B系统进行对接
研发系统帐号自动化创建的流程工单管理"
B1710305,信息安全域,业支17年网络与信息安全加固工程,王森,43100.0,0.7,"IPS已到货   
抗DDOS设备已发货，等待到货   
计划部未发起流程，已提前开始软件部署   
系统漏扫设备采购流程流转中   ","等待设计批复后，开始施工
督促计划部发起采购流程
督促采购部尽快完成订单"
B1710312,业务运营域,第三代业务支撑系统二期CMP系统建设工程,陈长轩,43281.0,0.6,"1、完成网络策略配置，并验证网络联通性。
2、协调物联网基地对联调测试的前提条件进行逐一确认并提交申请：包括工程安装电脑的内网IP、主机4A托管等；
3、根据政企要求将CMP挂接在政企网厅下，与相关主管以及物联网基地专家沟通方案可行性，并形成初步方案","1、继续跟进对联调测试的前提条件的申请完成。
2、组织进行CMP挂接在政企网厅下的配置方案评审。
3、协调物联网基地专家现场联调。"
